Year,County,Region,Child Population,% of Children in Total Population,Total Population
2023,Dallas,3-Arlington,411894,14.47,2845619
2023,Dawson,9-Midland,1842,13.62,13528
2023,DeWitt,8-San Antonio,2600,11.69,22238
2023,Deaf Smith,1-Lubbock,2957,16.55,17865
2023,Delta,4-Tyler,634,11.78,5382
2023,Denton,3-Arlington,127974,13,984554
2023,Dickens,1-Lubbock,164,7.81,2101
2023,Dimmit,8-San Antonio,1959,15.77,12426
2023,Donley,1-Lubbock,353,10.62,3325
2023,Duval,11-Edinburg,1621,13.86,11698
2023,Eastland,2-Abilene,2212,12.27,18022
2023,Ector,9-Midland,32814,16.15,203192
2023,Edwards,8-San Antonio,219,11.21,1953
2023,El Paso,10-El Paso,130441,14.55,896675
2023,Ellis,3-Arlington,25998,13.9,187001
2023,Erath,3-Arlington,5044,11.79,42775
2023,Falls,7-Austin,1823,11.19,16285
2023,Fannin,3-Arlington,3748,10.78,34753
2023,Fayette,7-Austin,3290,12.35,26642
2023,Fisher,2-Abilene,460,11.56,3980
2023,Floyd,1-Lubbock,721,12.77,5645
2023,Foard,2-Abilene,133,10.78,1234
2023,Fort Bend,6-Houston,127261,13.58,936811
2023,Franklin,4-Tyler,1492,13.57,10996
2023,Freestone,7-Austin,2423,12.21,19844
2023,Frio,8-San Antonio,2697,12.86,20965
2023,Gaines,9-Midland,4369,18.46,23668
2023,Galveston,6-Houston,49984,13.29,376165
2023,Garza,1-Lubbock,820,11.92,6882
2023,Gillespie,8-San Antonio,2783,10.42,26721
2023,Glasscock,9-Midland,159,11.26,1412
2023,Goliad,8-San Antonio,862,10.93,7886
2023,Gonzales,8-San Antonio,3115,14.3,21790
2023,Gray,1-Lubbock,3433,13.76,24942
2023,Grayson,3-Arlington,17535,13.01,134751
2023,Gregg,4-Tyler,17925,14.16,126594
2023,Grimes,7-Austin,3554,12.03,29553
2023,Guadalupe,8-San Antonio,24701,13.39,184455
2023,Hale,1-Lubbock,4736,14.67,32291
2023,Hall,1-Lubbock,410,12.43,3298
2023,Hamilton,7-Austin,1015,12.38,8200
2023,Hansford,1-Lubbock,911,15.37,5926
2023,Hardeman,2-Abilene,497,12.97,3832
2023,Hardin,5-Beaumont,7103,12.48,56932
2023,Harris,6-Houston,762344,14.5,5258527
2023,Harrison,4-Tyler,9658,14.01,68931
2023,Hartley,1-Lubbock,654,10.69,6119
2023,Haskell,2-Abilene,678,10.71,6330
2023,Hays,7-Austin,33438,12.67,263970
2023,Hemphill,1-Lubbock,908,18.05,5031
2023,Henderson,4-Tyler,9421,11.53,81679
2023,Hidalgo,11-Edinburg,141693,15.78,897703
2023,Hill,7-Austin,4628,12.98,35666
2023,Hockley,1-Lubbock,3571,14.21,25129
2023,Hood,3-Arlington,6890,11.31,60915
2023,Hopkins,4-Tyler,4813,12.84,37472
2023,Houston,5-Beaumont,2477,11.1,22321
2023,Howard,9-Midland,5450,12.54,43463
2023,Hudspeth,10-El Paso,341,10.02,3404
2023,Hunt,3-Arlington,12233,12.45,98269
2023,Hutchinson,1-Lubbock,2913,13.63,21372
2023,Irion,9-Midland,138,9.18,1503
2023,Jack,2-Abilene,1052,11.96,8793
2023,Jackson,8-San Antonio,2407,14.62,16469
2023,Jasper,5-Beaumont,4432,12.56,35288
2023,Jeff Davis,10-El Paso,211,10.27,2054
2023,Jefferson,5-Beaumont,32816,12.61,260138
2023,Jim Hogg,11-Edinburg,791,15.83,4997
2023,Jim Wells,11-Edinburg,6531,15.06,43372
2023,Johnson,3-Arlington,24704,13.86,178297
2023,Jones,2-Abilene,1782,9.08,19626
2023,Karnes,8-San Antonio,1873,11.96,15658
2023,Kaufman,3-Arlington,18261,13.75,132834
2023,Kendall,8-San Antonio,6460,12.52,51591
2023,Kenedy,11-Edinburg,58,11.84,490
2023,Kent,2-Abilene,82,10.21,803
2023,Kerr,8-San Antonio,5817,10.95,53104
2023,Kimble,9-Midland,435,10.25,4245
2023,King,1-Lubbock,28,8.75,320
2023,Kinney,8-San Antonio,406,11.76,3453
2023,Kleberg,11-Edinburg,3977,12.92,30792
2023,Knox,2-Abilene,583,14.51,4017
2023,La Salle,8-San Antonio,884,10.02,8825
2023,Lamar,4-Tyler,6151,12.33,49897
2023,Lamb,1-Lubbock,1697,13.64,12440
2023,Lampasas,7-Austin,2508,11.68,21467
2023,Lavaca,8-San Antonio,2885,13.46,21426
2023,Lee,7-Austin,2422,13.55,17881
2023,Leon,7-Austin,2187,12.15,18006
2023,Liberty,6-Houston,11986,13.56,88390
2023,Limestone,7-Austin,2877,12.2,23579
2023,Lipscomb,1-Lubbock,507,13.44,3773
2023,Live Oak,11-Edinburg,1368,11.23,12187
2023,Llano,7-Austin,1717,8.8,19515
2023,Loving,9-Midland,6,6.45,93
2023,Lubbock,1-Lubbock,43648,13.17,331479
2023,Lynn,1-Lubbock,721,13.11,5498
2023,Madison,7-Austin,1845,12.41,14868
2023,Marion,4-Tyler,1091,10.77,10129
2023,Martin,9-Midland,958,14.72,6507
2023,Mason,9-Midland,423,10.83,3907
2023,Matagorda,6-Houston,4891,13.21,37013
2023,Maverick,8-San Antonio,9676,15.72,61567
2023,McCulloch,9-Midland,1055,12.04,8761
2023,McLennan,7-Austin,36972,14.31,258302
2023,McMullen,11-Edinburg,67,8.51,787
2023,Medina,8-San Antonio,6439,12.35,52122
2023,Menard,9-Midland,241,11.05,2181
2023,Midland,9-Midland,31527,15.15,208108
2023,Milam,7-Austin,3206,13.04,24589
2023,Mills,7-Austin,571,11.79,4843
2023,Mitchell,2-Abilene,1043,10.43,10004
2023,Montague,2-Abilene,2286,12.01,19038
2023,Montgomery,6-Houston,92279,13.73,672131
2023,Moore,1-Lubbock,3404,15.84,21492
2023,Morris,4-Tyler,1498,12.22,12262
2023,Motley,1-Lubbock,111,9.61,1155
2023,Nacogdoches,5-Beaumont,6926,10.78,64255
2023,Navarro,3-Arlington,6355,13.26,47930
2023,Newton,5-Beaumont,1436,10.62,13522
2023,Nolan,2-Abilene,2243,14.2,15791
2023,Nueces,11-Edinburg,53228,13.38,397902
2023,Ochiltree,1-Lubbock,1843,15.79,11673
2023,Oldham,1-Lubbock,368,16.54,2225
2023,Orange,5-Beaumont,10900,12.49,87289
2023,Palo Pinto,3-Arlington,3402,12.27,27728
2023,Panola,4-Tyler,3210,12.97,24758
2023,Parker,3-Arlington,18057,12.71,142025
2023,Parmer,1-Lubbock,1314,14.76,8902
2023,Pecos,9-Midland,2197,13.14,16714
2023,Polk,5-Beaumont,5243,10.43,50249
2023,Potter,1-Lubbock,16474,13.41,122803
2023,Presidio,10-El Paso,666,12.17,5471
2023,Rains,4-Tyler,1196,10.41,11488
2023,Randall,1-Lubbock,19210,13.26,144824
2023,Reagan,9-Midland,701,15.49,4526
2023,Real,8-San Antonio,369,10.77,3425
2023,Red River,4-Tyler,1392,11.16,12469
2023,Reeves,9-Midland,1916,11.71,16363
2023,Refugio,11-Edinburg,944,12.41,7609
2023,Roberts,1-Lubbock,126,12.64,997
2023,Robertson,7-Austin,2012,11.87,16952
2023,Rockwall,3-Arlington,14563,13.15,110757
2023,Runnels,2-Abilene,1417,12.65,11200
2023,Rusk,4-Tyler,6325,12.03,52584
2023,Sabine,5-Beaumont,1024,10.6,9660
2023,San Augustine,5-Beaumont,838,10.12,8281
2023,San Jacinto,5-Beaumont,3531,11.95,29559
2023,San Patricio,11-Edinburg,10151,13.82,73464
2023,San Saba,7-Austin,649,11.13,5830
2023,Schleicher,9-Midland,480,14.35,3346
2023,Scurry,2-Abilene,2697,14.29,18877
2023,Shackelford,2-Abilene,422,12.31,3429
2023,Shelby,5-Beaumont,3629,14.26,25449
2023,Sherman,1-Lubbock,446,13.31,3350
2023,Smith,4-Tyler,31999,13.2,242371
2023,Somervell,3-Arlington,1075,11.21,9591
2023,Starr,11-Edinburg,10601,16.19,65498
2023,Stephens,2-Abilene,1158,12.12,9557
2023,Sterling,9-Midland,155,12.16,1275
2023,Stonewall,2-Abilene,161,10.52,1530
2023,Sutton,9-Midland,512,11.51,4449
2023,Swisher,1-Lubbock,971,13.31,7295
2023,Tarrant,3-Arlington,309550,13.76,2249878
2023,Taylor,2-Abilene,19488,13.76,141675
2023,Terrell,9-Midland,114,10.79,1057
2023,Terry,1-Lubbock,1968,14.89,13220
2023,Throckmorton,2-Abilene,177,11.8,1500
2023,Titus,4-Tyler,4997,15.14,33009
2023,Tom Green,9-Midland,15670,12.27,127703
2023,Travis,7-Austin,159808,11.68,1368139
2023,Trinity,5-Beaumont,1467,10.43,14063
2023,Tyler,5-Beaumont,2305,10.87,21214
2023,Upshur,4-Tyler,5219,12.3,42416
2023,Upton,9-Midland,612,14.63,4184
2023,Uvalde,8-San Antonio,3849,13.43,28659
2023,Val Verde,8-San Antonio,7159,14.91,48025
2023,Van Zandt,4-Tyler,6895,12.24,56353
2023,Victoria,8-San Antonio,12990,12.84,101205
2023,Walker,6-Houston,7766,10.18,76250
2023,Waller,6-Houston,7301,13.76,53060
2023,Ward,9-Midland,2339,15.81,14798
2023,Washington,7-Austin,4441,12.5,35536
2023,Webb,11-Edinburg,44250,15.61,283493
2023,Wharton,6-Houston,5841,13.88,42092
2023,Wheeler,1-Lubbock,803,13.68,5869
2023,Wichita,2-Abilene,15728,11.8,133295
2023,Wilbarger,2-Abilene,1563,12.17,12838
2023,Willacy,11-Edinburg,2863,12.98,22053
2023,Williamson,7-Austin,87481,13.41,652186
2023,Wilson,8-San Antonio,6564,11.98,54807
2023,Winkler,9-Midland,1757,17.32,10146
2023,Wise,3-Arlington,8428,12.43,67825
2023,Wood,4-Tyler,5065,10.97,46166
2023,Yoakum,1-Lubbock,1679,17.2,9763
2023,Young,2-Abilene,2371,12.63,18779
2023,Zapata,11-Edinburg,2505,17.36,14428
2023,Zavala,8-San Antonio,2133,16.44,12978
2023,All Counties,All Regions,,,31172832
2022,Anderson,4-Tyler,6101,10.5,58094
2022,Andrews,9-Midland,4190,17.19,24369
2022,Angelina,5-Beaumont,13000,14.28,91022
2022,Aransas,11-Edinburg,3074,10.69,28757
2022,Archer,2-Abilene,939,11.36,8264
2022,Armstrong,1-Lubbock,209,10.73,1947
2022,Atascosa,8-San Antonio,7523,14.06,53493
2022,Austin,6-Houston,3900,12.66,30805
2022,Bailey,1-Lubbock,1348,17.26,7810
2022,Bandera,8-San Antonio,1893,8.85,21389
2022,Bastrop,7-Austin,12258,13.83,88616
2022,Baylor,2-Abilene,461,12.75,3617
2022,Bee,11-Edinburg,4083,11.68,34943
2022,Bell,7-Austin,57710,15.94,362136
2022,Bexar,8-San Antonio,297678,13.69,2174191
2022,Blanco,7-Austin,1125,9.62,11694
2022,Borden,9-Midland,61,8.74,698
2022,Bosque,7-Austin,1990,11.25,17682
2022,Bowie,4-Tyler,11010,11.91,92441
2022,Brazoria,6-Houston,55076,14.13,389844
2022,Brazos,7-Austin,29599,12.46,237611
2022,Brewster,10-El Paso,1051,11.59,9067
2022,Briscoe,1-Lubbock,181,11.63,1556
2022,Brooks,11-Edinburg,996,13.92,7153
2022,Brown,2-Abilene,4715,12.09,38984
2022,Burleson,7-Austin,2293,12.85,17841
2022,Burnet,7-Austin,5694,11.54,49329
2022,Caldwell,7-Austin,6448,14.14,45617
2022,Calhoun,8-San Antonio,3055,13.25,23065
2022,Callahan,2-Abilene,1411,10.47,13478
2022,Cameron,11-Edinburg,68100,15.8,431026
2022,Camp,4-Tyler,1843,13.64,13515
2022,Carson,1-Lubbock,732,12.69,5768
2022,Cass,4-Tyler,3607,11.94,30203
2022,Castro,1-Lubbock,992,14.3,6938
2022,Chambers,6-Houston,6301,14.26,44194
2022,Cherokee,4-Tyler,7476,14.28,52350
2022,Childress,1-Lubbock,793,11.26,7045
2022,Clay,2-Abilene,1068,11.14,9584
2022,Cochran,1-Lubbock,520,15.29,3402
2022,Coke,9-Midland,343,10.72,3201
2022,Coleman,2-Abilene,1063,12.65,8406
2022,Collin,3-Arlington,152893,13.9,1099759
2022,Collingsworth,1-Lubbock,497,15.27,3255
2022,Colorado,6-Houston,2778,13.01,21353
2022,Comal,8-San Antonio,19174,12.2,157195
2022,Comanche,2-Abilene,1598,12.41,12878
2022,Concho,9-Midland,334,8.04,4153
2022,Cooke,3-Arlington,5137,12.85,39967
2022,Coryell,7-Austin,10910,13.79,79108
2022,Cottle,2-Abilene,163,10.79,1510
2022,Crane,9-Midland,1032,15.48,6667
2022,Crockett,9-Midland,537,13.14,4088
2022,Crosby,1-Lubbock,949,14.5,6547
2022,Culberson,10-El Paso,221,9.99,2212
2022,Dallam,1-Lubbock,1270,17.27,7353
2022,Dallas,3-Arlington,408189,14.53,2808441
2022,Dawson,9-Midland,1842,13.6,13543
2022,DeWitt,8-San Antonio,2571,11.65,22078
2022,Deaf Smith,1-Lubbock,2984,16.62,17955
2022,Delta,4-Tyler,626,11.65,5375
2022,Denton,3-Arlington,127342,13.34,954471
2022,Dickens,1-Lubbock,174,8.18,2126
2022,Dimmit,8-San Antonio,1938,15.89,12197
2022,Donley,1-Lubbock,347,10.34,3357
2022,Duval,11-Edinburg,1646,14.04,11727
2022,Eastland,2-Abilene,2201,12.17,18087
2022,Ector,9-Midland,31947,16.23,196837
2022,Edwards,8-San Antonio,221,11.25,1965
2022,El Paso,10-El Paso,129320,14.53,890020
2022,Ellis,3-Arlington,25922,14.1,183842
2022,Erath,3-Arlington,5049,11.92,42363
2022,Falls,7-Austin,1837,11.21,16390
2022,Fannin,3-Arlington,3801,10.95,34720
2022,Fayette,7-Austin,3275,12.38,26452
2022,Fisher,2-Abilene,458,11.51,3979
2022,Floyd,1-Lubbock,744,13.08,5687
2022,Foard,2-Abilene,130,10.55,1232
2022,Fort Bend,6-Houston,125067,13.84,903484
2022,Franklin,4-Tyler,1507,13.73,10977
2022,Freestone,7-Austin,2426,12.22,19860
2022,Frio,8-San Antonio,2659,12.88,20640
2022,Gaines,9-Midland,4319,18.66,23150
2022,Galveston,6-Houston,49210,13.33,369095
2022,Garza,1-Lubbock,810,11.82,6850
2022,Gillespie,8-San Antonio,2782,10.48,26535
2022,Glasscock,9-Midland,168,12.05,1394
2022,Goliad,8-San Antonio,872,11.14,7825
2022,Gonzales,8-San Antonio,3089,14.28,21636
2022,Gray,1-Lubbock,3477,14.08,24695
2022,Grayson,3-Arlington,17521,13.1,133761
2022,Gregg,4-Tyler,17997,14.25,126321
2022,Grimes,7-Austin,3531,12.03,29344
2022,Guadalupe,8-San Antonio,24286,13.52,179600
2022,Hale,1-Lubbock,4798,14.73,32583
2022,Hall,1-Lubbock,413,12.51,3302
2022,Hamilton,7-Austin,997,12.16,8200
2022,Hansford,1-Lubbock,929,15.77,5890
2022,Hardeman,2-Abilene,494,12.85,3845
2022,Hardin,5-Beaumont,7304,12.86,56792
2022,Harris,6-Houston,752158,14.56,5164809
2022,Harrison,4-Tyler,9632,14.01,68736
2022,Hartley,1-Lubbock,674,11.06,6092
2022,Haskell,2-Abilene,680,10.81,6289
2022,Hays,7-Austin,32757,12.9,253894
2022,Hemphill,1-Lubbock,886,18.11,4892
2022,Henderson,4-Tyler,9508,11.66,81548
2022,Hidalgo,11-Edinburg,143221,16.12,888655
2022,Hill,7-Austin,4637,12.99,35683
2022,Hockley,1-Lubbock,3547,14.21,24959
2022,Hood,3-Arlington,6859,11.4,60158
2022,Hopkins,4-Tyler,4828,12.93,37334
2022,Houston,5-Beaumont,2487,11.09,22433
2022,Howard,9-Midland,5379,12.6,42702
2022,Hudspeth,10-El Paso,349,10.25,3406
2022,Hunt,3-Arlington,12120,12.46,97277
2022,Hutchinson,1-Lubbock,2958,13.83,21396
2022,Irion,9-Midland,135,8.96,1506
2022,Jack,2-Abilene,1045,11.85,8820
2022,Jackson,8-San Antonio,2359,14.48,16293
2022,Jasper,5-Beaumont,4492,12.7,35374
2022,Jeff Davis,10-El Paso,209,10.07,2076
2022,Jefferson,5-Beaumont,32766,12.62,259733
2022,Jim Hogg,11-Edinburg,778,15.48,5026
2022,Jim Wells,11-Edinburg,6462,14.95,43229
2022,Johnson,3-Arlington,24589,13.96,176087
2022,Jones,2-Abilene,1808,9.19,19666
2022,Karnes,8-San Antonio,1829,11.75,15560
2022,Kaufman,3-Arlington,18126,13.92,130210
2022,Kendall,8-San Antonio,6315,12.7,49720
2022,Kenedy,11-Edinburg,57,11.7,487
2022,Kent,2-Abilene,80,10,800
2022,Kerr,8-San Antonio,5806,10.99,52830
2022,Kimble,9-Midland,432,10.1,4277
2022,King,1-Lubbock,28,8.83,317
2022,Kinney,8-San Antonio,395,11.44,3453
2022,Kleberg,11-Edinburg,4092,13.26,30857
2022,Knox,2-Abilene,595,14.92,3987
2022,La Salle,8-San Antonio,868,10.03,8651
2022,Lamar,4-Tyler,6213,12.44,49957
2022,Lamb,1-Lubbock,1732,13.79,12556
2022,Lampasas,7-Austin,2535,11.88,21331
2022,Lavaca,8-San Antonio,2862,13.51,21191
2022,Lee,7-Austin,2412,13.56,17787
2022,Leon,7-Austin,2156,12.04,17905
2022,Liberty,6-Houston,11773,13.48,87353
2022,Limestone,7-Austin,2866,12.16,23574
2022,Lipscomb,1-Lubbock,498,13.34,3733
2022,Live Oak,11-Edinburg,1344,11.08,12132
2022,Llano,7-Austin,1687,8.65,19503
2022,Loving,9-Midland,6,6.45,93
2022,Lubbock,1-Lubbock,43489,13.32,326611
2022,Lynn,1-Lubbock,738,13.34,5534
2022,Madison,7-Austin,1815,12.3,14754
2022,Marion,4-Tyler,1083,10.62,10199
2022,Martin,9-Midland,945,14.88,6349
2022,Mason,9-Midland,426,10.91,3905
2022,Matagorda,6-Houston,4906,13.25,37032
2022,Maverick,8-San Antonio,9686,15.87,61027
2022,McCulloch,9-Midland,1073,12.28,8738
2022,McLennan,7-Austin,36601,14.26,256604
2022,McMullen,11-Edinburg,67,8.51,787
2022,Medina,8-San Antonio,6428,12.45,51621
2022,Menard,9-Midland,246,11.26,2185
2022,Midland,9-Midland,30404,15.13,200890
2022,Milam,7-Austin,3269,13.27,24627
2022,Mills,7-Austin,567,11.7,4847
2022,Mitchell,2-Abilene,1014,10.2,9943
2022,Montague,2-Abilene,2300,12.04,19099
2022,Montgomery,6-Houston,90563,13.89,652082
2022,Moore,1-Lubbock,3483,16.19,21510
2022,Morris,4-Tyler,1473,11.95,12328
2022,Motley,1-Lubbock,119,10.24,1162
2022,Nacogdoches,5-Beaumont,7000,10.9,64248
2022,Navarro,3-Arlington,6433,13.41,47962
2022,Newton,5-Beaumont,1444,10.62,13598
2022,Nolan,2-Abilene,2269,14.42,15734
2022,Nueces,11-Edinburg,52667,13.39,393190
2022,Ochiltree,1-Lubbock,1850,16.01,11553
2022,Oldham,1-Lubbock,374,16.87,2217
2022,Orange,5-Beaumont,10912,12.56,86913
2022,Palo Pinto,3-Arlington,3467,12.48,27777
2022,Panola,4-Tyler,3214,13,24714
2022,Parker,3-Arlington,17964,12.84,139853
2022,Parmer,1-Lubbock,1343,14.92,9004
2022,Pecos,9-Midland,2186,13.12,16658
2022,Polk,5-Beaumont,5182,10.39,49862
2022,Potter,1-Lubbock,16748,13.64,122799
2022,Presidio,10-El Paso,691,12.32,5609
2022,Rains,4-Tyler,1185,10.34,11455
2022,Randall,1-Lubbock,19020,13.35,142506
2022,Reagan,9-Midland,682,15.41,4425
2022,Real,8-San Antonio,353,10.32,3421
2022,Red River,4-Tyler,1369,10.94,12515
2022,Reeves,9-Midland,1870,11.58,16150
2022,Refugio,11-Edinburg,941,12.38,7603
2022,Roberts,1-Lubbock,130,13.08,994
2022,Robertson,7-Austin,2017,11.91,16936
2022,Rockwall,3-Arlington,14653,13.59,107826
2022,Runnels,2-Abilene,1419,12.74,11137
2022,Rusk,4-Tyler,6437,12.23,52648
2022,Sabine,5-Beaumont,1039,10.65,9752
2022,San Augustine,5-Beaumont,826,9.94,8314
2022,San Jacinto,5-Beaumont,3518,11.99,29330
2022,San Patricio,11-Edinburg,10197,14.01,72760
2022,San Saba,7-Austin,650,11.12,5845
2022,Schleicher,9-Midland,492,14.75,3336
2022,Scurry,2-Abilene,2714,14.51,18701
2022,Shackelford,2-Abilene,433,12.65,3423
2022,Shelby,5-Beaumont,3641,14.28,25493
2022,Sherman,1-Lubbock,456,13.71,3326
2022,Smith,4-Tyler,31741,13.23,239994
2022,Somervell,3-Arlington,1062,11.2,9482
2022,Starr,11-Edinburg,10585,16.22,65276
2022,Stephens,2-Abilene,1157,12.09,9568
2022,Sterling,9-Midland,154,12.14,1269
2022,Stonewall,2-Abilene,160,10.49,1525
2022,Sutton,9-Midland,509,11.49,4431
2022,Swisher,1-Lubbock,1012,13.81,7328
2022,Tarrant,3-Arlington,309475,13.98,2214148
2022,Taylor,2-Abilene,19521,13.85,140957
2022,Terrell,9-Midland,118,11.15,1058
2022,Terry,1-Lubbock,1948,14.8,13161
2022,Throckmorton,2-Abilene,179,11.89,1506
2022,Titus,4-Tyler,5018,15.2,33005
2022,Tom Green,9-Midland,15631,12.38,126243
2022,Travis,7-Austin,158198,11.78,1342801
2022,Trinity,5-Beaumont,1474,10.44,14122
2022,Tyler,5-Beaumont,2317,10.89,21278
2022,Upshur,4-Tyler,5241,12.44,42145
2022,Upton,9-Midland,617,14.95,4127
2022,Uvalde,8-San Antonio,3899,13.72,28411
2022,Val Verde,8-San Antonio,7248,15.07,48098
2022,Van Zandt,4-Tyler,6865,12.25,56056
2022,Victoria,8-San Antonio,13063,13.06,100022
2022,Walker,6-Houston,7717,10.22,75503
2022,Waller,6-Houston,7358,14.07,52280
2022,Ward,9-Midland,2277,15.83,14383
2022,Washington,7-Austin,4453,12.57,35421
2022,Webb,11-Edinburg,44837,15.95,281099
2022,Wharton,6-Houston,5909,14.05,42045
2022,Wheeler,1-Lubbock,812,13.9,5841
2022,Wichita,2-Abilene,15747,11.81,133297
2022,Wilbarger,2-Abilene,1569,12.15,12913
2022,Willacy,11-Edinburg,2895,13.11,22089
2022,Williamson,7-Austin,86108,13.66,630580
2022,Wilson,8-San Antonio,6559,12.19,53799
2022,Winkler,9-Midland,1684,17.09,9854
2022,Wise,3-Arlington,8440,12.57,67160
2022,Wood,4-Tyler,5003,10.9,45896
2022,Yoakum,1-Lubbock,1660,17.33,9579
2022,Young,2-Abilene,2338,12.46,18760
2022,Zapata,11-Edinburg,2539,17.6,14430
2022,Zavala,8-San Antonio,2134,16.57,12879
2022,All Counties,All Regions,,,30667390
2021,Anderson,4-Tyler,6147,10.57,58162
2021,Andrews,9-Midland,4007,17.2,23290
2021,Angelina,5-Beaumont,13049,14.38,90739
2021,Aransas,11-Edinburg,3044,10.78,28232
2021,Archer,2-Abilene,968,11.66,8303
2021,Armstrong,1-Lubbock,202,10.38,1946
2021,Atascosa,8-San Antonio,7472,14.19,52646
2021,Austin,6-Houston,3876,12.66,30609
2021,Bailey,1-Lubbock,1337,17.25,7749
2021,Bandera,8-San Antonio,1885,8.84,21318
2021,Bastrop,7-Austin,12222,13.99,87351
2021,Baylor,2-Abilene,451,12.46,3620
2021,Bee,11-Edinburg,4039,11.64,34694
2021,Bell,7-Austin,56829,15.88,357856
2021,Bexar,8-San Antonio,293627,13.76,2133664
2021,Blanco,7-Austin,1153,9.93,11609
2021,Borden,9-Midland,66,9.54,692
2021,Bosque,7-Austin,2012,11.35,17729
2021,Bowie,4-Tyler,11278,12.19,92534
2021,Brazoria,6-Houston,54979,14.36,382793
2021,Brazos,7-Austin,29031,12.43,233503
2021,Brewster,10-El Paso,1033,11.35,9100
2021,Briscoe,1-Lubbock,178,11.39,1563
2021,Brooks,11-Edinburg,994,13.88,7160
2021,Brown,2-Abilene,4773,12.25,38962
2021,Burleson,7-Austin,2331,13.11,17782
2021,Burnet,7-Austin,5666,11.62,48769
2021,Caldwell,7-Austin,6384,14.2,44960
2021,Calhoun,8-San Antonio,3081,13.43,22948
2021,Callahan,2-Abilene,1465,10.88,13465
2021,Cameron,11-Edinburg,68717,16,429514
2021,Camp,4-Tyler,1861,13.88,13411
2021,Carson,1-Lubbock,758,13.1,5787
2021,Cass,4-Tyler,3613,11.94,30269
2021,Castro,1-Lubbock,1022,14.55,7024
2021,Chambers,6-Houston,6205,14.35,43243
2021,Cherokee,4-Tyler,7501,14.35,52263
2021,Childress,1-Lubbock,784,11.12,7053
2021,Clay,2-Abilene,1096,11.31,9693
2021,Cochran,1-Lubbock,523,15.51,3371
2021,Coke,9-Midland,337,10.51,3205
2021,Coleman,2-Abilene,1069,12.66,8443
2021,Collin,3-Arlington,151943,14.21,1069017
2021,Collingsworth,1-Lubbock,483,14.97,3227
2021,Colorado,6-Houston,2788,13.08,21318
2021,Comal,8-San Antonio,18755,12.32,152183
2021,Comanche,2-Abilene,1608,12.39,12980
2021,Concho,9-Midland,332,8,4149
2021,Cooke,3-Arlington,5194,13.03,39847
2021,Coryell,7-Austin,11003,13.98,78703
2021,Cottle,2-Abilene,164,10.88,1507
2021,Crane,9-Midland,1006,15.64,6434
2021,Crockett,9-Midland,547,13.44,4071
