Year,Consumer Confidence Index TX,Consumer Confidence Index US,Consumer Price Index TX,Consumer Price Index U.S.,Nonfarm Employment TX,Nonfarm Employment U.S.,Unemployment TX,Unemployment U.S.
2012,83.7,68.4,209.451,231.407,10.991,134.518,6.5,7.8
2012,92,73.1,209.044,231.317,11.018,134.677,6.5,7.8
2012,103.2,71.5,208.036,230.221,11.049,134.833,6.5,7.7
2012,99.6,66.7,207.402,229.601,11.075,135.072,6.5,7.9
2013,96.1,58.4,208.386,230.28,11.079,135.263,6.5,8
2013,93.8,68,210.581,232.166,11.138,135.541,6.6,7.7
2013,99.7,61.9,211.359,232.773,11.166,135.68,6.5,7.5
2013,119.9,69,211.873,232.531,11.182,135.871,6.5,7.6
2013,96.8,74.3,211.773,232.945,11.199,136.093,6.4,7.5
2013,117.3,82.1,212.034,233.504,11.233,136.274,6.4,7.5
2013,116.9,81,212.47,233.596,11.26,136.386,6.3,7.3
2013,107.5,81.8,212.908,233.877,11.282,136.628,6.3,7.2
2013,114.8,80.2,212.943,234.149,11.317,136.815,6.2,7.2
2013,96.2,72.4,212.148,233.546,11.334,137.04,6.1,7.2
2013,113.2,72,211.407,233.069,11.367,137.304,6,6.9
2013,110,77.5,212.623,233.049,11.376,137.373,5.8,6.7
2014,104.509,79.41,213.443,233.916,11.404,137.548,5.7,6.6
2014,111.777,78.301,214.418,234.781,11.43,137.714,5.6,6.7
2014,108.685,83.861,215.912,236.293,11.468,137.968,5.5,6.7
2014,120.1,81.7,216.373,237.072,11.519,138.293,5.4,6.2
2014,131.2,82.2,216.822,237.9,11.553,138.511,5.3,6.3
2014,113.1,85.2,217.333,238.343,11.585,138.837,5.2,6.1
2014,117.155,90.333,217.064,238.25,11.612,139.069,5.2,6.2
2014,121.4,93.4,216.639,237.852,11.638,139.257,5.1,6.1
2014,121.8,89,216.822,238.031,11.676,139.566,5,5.9
2014,128.4,94.1,216.81,237.433,11.721,139.818,4.9,5.7
2014,119.8,91,215.41,236.151,11.759,140.109,4.8,5.8
2014,119.4,93.1,214.063,234.812,11.793,140.377,4.6,5.6
2015,116.6,103.8,213.035,233.707,11.802,140.568,4.6,5.7
2015,121.4,98.8,213.056,234.722,11.807,140.839,4.5,5.5
2015,127.1,101.4,214.509,236.119,11.802,140.91,4.5,5.4
2015,121.4,94.3,215.184,236.599,11.811,141.194,4.5,5.4
2015,130.7,94.6,216.003,237.805,11.839,141.525,4.4,5.6
2015,130.6,99.8,216.573,238.638,11.864,141.699,4.4,5.3
2015,110.2,91,216.293,238.654,11.887,142.001,4.4,5.2
2015,108.9,101.3,216.509,238.316,11.902,142.126,4.5,5.1
2015,118.9,102.6,215.912,237.945,11.914,142.281,4.5,5
2015,115.5,99.1,215.989,237.838,11.922,142.587,4.5,5
2015,105.7,92.6,215.61,237.336,11.928,142.824,4.5,5.1
2015,101.1,96.3,214.649,236.525,11.94,143.097,4.5,5
2016,120.4,97.8,215.226,236.916,11.956,143.205,4.5,4.8
2016,106,94,215.924,237.111,11.964,143.417,4.4,4.9
2016,96.8,96.1,217.153,238.132,11.954,143.654,4.5,5
2016,103.8,94.7,217.714,239.261,11.983,143.851,4.5,5.1
2016,120.2,92.4,218.551,240.229,11.99,143.892,4.6,4.8
2016,105.7,97.4,219.373,241.018,11.977,144.15,4.7,4.9
2016,103.3,96.7,219.23,240.628,12.031,144.521,4.7,4.8
2016,107.5,101.8,219.146,240.849,12.039,144.664,4.7,4.9
2016,115.4,103.5,219.513,241.428,12.069,144.953,4.8,5
2016,116.7,100.8,220.2,241.729,12.064,145.071,4.8,4.9
2016,124.5,109.4,220.06,241.353,12.081,145.201,4.8,4.7
2016,135.7,113.3,220.045,241.432,12.099,145.415,4.8,4.7
2017,130.6,111.6,221.055,242.839,12.131,145.628,4.8,4.7
2017,127.6,116.1,221.422,243.603,12.144,145.818,4.7,4.6
2017,147.8,124.9,221.511,243.801,12.18,145.96,4.6,4.4
2017,136.8,119.4,222.149,244.524,12.196,146.165,4.5,4.4
2017,135.4,117.6,222.652,244.733,12.215,146.388,4.4,4.4
2017,135,117.3,223.137,244.955,12.243,146.585,4.3,4.3
2017,133.7,120,223.133,244.786,12.23,146.768,4.2,4.3
2017,145.4,120.4,223.772,245.519,12.241,146.913,4.2,4.4
2017,126.5,120.6,225.741,246.819,12.257,147.012,4.1,4.3
2017,125.5,126.2,226.062,246.663,12.295,147.153,4.1,4.2
2017,138.1,128.6,226.285,246.669,12.316,147.353,4.1,4.2
2017,136.7,123.1,225.393,246.524,12.34,147.529,4.1,4.1
2018,151,124.3,225.954,247.867,12.358,147.662,4.1,4
2018,154.7,130,227.441,248.991,12.396,148.064,4,4.1
2018,139.2,127,227.746,249.554,12.433,148.289,4,4
2018,141.5,125.6,228.152,250.546,12.451,148.468,4,4
2018,147.3,128.8,230.043,251.588,12.486,148.801,3.9,3.8
2018,150.7,127.1,230.9,251.989,12.524,148.984,3.9,4
2018,142.4,127.9,230.489,252.006,12.548,149.05,3.9,3.8
2018,145.3,134.7,230.003,252.146,12.581,149.269,3.8,3.8
2018,148.5,135.3,230.566,252.439,12.592,149.326,3.8,3.7
2018,152.6,137.9,231.524,252.885,12.617,149.471,3.8,3.8
2018,138.8,136.4,230.897,252.038,12.638,149.573,3.8,3.8
2018,137.5,126.6,230.148,251.233,12.658,149.821,3.8,3.9
2019,146.7,121.7,230.452,251.712,12.685,150.1,3.7,4
2019,150.3,131.4,230.854,252.776,12.714,150.124,3.6,3.8
2019,133.5,124.2,232.289,254.202,12.721,150.348,3.5,3.8
2019,146,129.2,233.504,255.548,12.755,150.636,3.5,3.6
2019,137.6,131.3,233.617,256.092,12.784,150.713,3.4,3.6
2019,142.8,124.3,233.424,256.143,12.803,150.843,3.4,3.6
2019,151.3,135.8,234.295,256.571,12.839,150.921,3.5,3.7
2019,152.1,134.2,234.151,256.558,12.866,151.081,3.5,3.7
2019,140.6,126.3,234.709,256.759,12.878,151.244,3.6,3.5
2019,141.5,126.1,235.202,257.346,12.888,151.337,3.5,3.6
2019,144.4,126.8,234.343,257.208,12.92,151.589,3.5,3.6
2019,137.7,128.2,233.658,256.974,12.921,151.789,3.5,3.6
2020,148.2,130.4,234.294,257.971,12.953,152.128,3.4,3.5
2020,149.9,132.6,234.868,258.678,12.966,152.504,3.5,3.5
2020,120.6,118.8,234.256,258.115,12.897,151.006,5.1,4.4
2020,92.6,85.7,231.827,256.389,11.519,130.513,12.6,14.7
2020,97.8,85.9,231.354,256.394,11.757,133.155,11.8,13.2
2020,106.5,98.3,233.254,257.797,11.984,137.66,10.1,11
2020,89.8,91.7,234.972,259.101,12.007,139.048,9.3,10.2
2020,101.4,86.3,234.478,259.198,12.1,140.713,8.1,8.4
2020,104.6,101.8,235.296,260.28,12.173,141.632,7.7,7.9
2020,104.1,101.4,235.321,260.388,12.259,142.279,7.1,6.9
2020,112,92.9,234.644,260.229,12.314,142.612,6.9,6.7
2020,86.9,87.1,235.079,260.474,12.352,142.497,6.9,6.7
2021,100.7,87.1,236.941,261.582,12.397,143.017,6.7,6.4
2021,98.9,95.2,238.141,263.014,12.352,143.727,6.6,6.2
2021,125.5,114.9,240.542,264.877,12.476,144.431,6.4,6
2021,127.5,117.5,242.815,267.054,12.543,144.694,6.2,6
2021,131.5,120,244.864,269.195,12.595,145.141,5.9,5.8
2021,133.1,128.9,246.468,271.696,12.652,145.698,5.9,5.9
2021,121.4,125.1,246.922,273.003,12.776,146.387,5.6,5.4
2021,117.6,115.2,247.465,273.567,12.802,147.221,5.3,5.2
2021,121.3,109.8,248.346,274.31,12.852,147.778,5.1,4.7
2021,106.1,111.6,250.441,276.589,13.002,148.559,4.9,4.6
2021,115.8,111.9,251.202,277.948,13.0508,149.173,4.6,4.2
2021,115.6,115.2,251.847,278.802,13.1289,149.742,4.5,3.9
2022,120.1,111.1,254.537,281.148,13.1343,150.106,4.3,4
2022,113.4,105.7,257.225,283.716,13.216,151.01,4.1,3.8
2022,108.4,107.6,261.47,287.504,13.2651,151.424,3.9,3.6
2022,120.7,108.6,263.759,289.109,13.352,151.678,3.8,3.6
2022,103.4,103.2,266.847,292.296,13.3951,152.042,3.8,3.6
2022,101.2,98.4,270.918,296.311,13.4145,152.412,3.8,3.6
2022,96.8,95.3,270.424,296.276,13.5331,152.98,3.8,3.5
2022,101.9,103.6,270.49,296.171,13.5792,153.332,3.8,3.7
2022,104.7,107.8,271.469,296.808,13.6234,153.682,3.9,3.5
2022,103.8,102.2,270.924,298.012,13.6552,154.006,4,3.7
2022,103.4,101.4,270.579,297.711,13.6801,154.296,4,3.6
2022,101.3,109,268.366,296.797,13.7078,154.535,4.1,3.5
2023,114.1,106,270.886,299.17,13.7895,154.773,4.1,3.4
2023,111.3,103.4,273.112,300.84,13.8123,155.06,4,3.6
2023,109.2,104,274.636,301.836,13.845,155.206,4,3.5
2023,111.9,103.7,276.653,303.363,13.853,155.484,4,3.4
2023,105.6,102.5,277.404,304.127,13.8789,155.787,4,3.7
2023,112.5,110.1,278.22,305.109,13.9214,156.027,3.9,3.6
2023,130,114,278.448,305.691,13.9009,156.211,3.9,3.5
2023,108.8,108.7,280.209,307.026,13.9368,156.421,3.9,3.8
2023,97.4,104.3,281.414,307.789,13.9625,156.667,3.9,3.8
2023,116.1,99.1,280.609,307.671,14.0017,156.832,3.9,3.8
2023,113.3,101,281.688,307.051,14.0124,157.014,3.9,3.7
2023,120.4,108,281.716,306.746,14.0345,157.304,3.9,3.7
2024,124.3,110.9,283.863,308.417,14.0539,157.533,3.9,3.7
2024,117.8,104.8,285.363,310.326,14.1037,157.808,3.9,3.9
2024,121.7,104.7,0,0,0,0,0,0
2024,0,0,0,0,0,0,0,0
2024,0,0,0,0,0,0,0,0
